subject_id,split
S000398,model_development
S000399,model_development
S000400,model_development
S000401,model_development
S000403,model_development
S000404,model_development
S000405,model_development
S000406,model_development
S000407,model_development
S000408,independent_holdout
S000409,model_development
S000410,model_development
S000411,model_development
S000412,independent_holdout
S000414,model_development
S000415,model_development
S000416,model_development
S000417,model_development
S000418,model_development
S000419,model_development
S000420,model_development
S000423,model_development
S000424,independent_holdout
S000425,model_development
S000426,model_development
S000427,model_development
S000428,model_development
S000429,model_development
S000431,model_development
S000432,model_development
S000433,model_development
S000434,independent_holdout
S000435,model_development
S000436,model_development
S000437,independent_holdout
S000438,model_development
S000439,model_development
S000440,model_development
S000442,model_development
S000443,model_development
S000444,independent_holdout
S000446,model_development
S000447,model_development
S000449,model_development
S000450,model_development
S000451,model_development
S000452,independent_holdout
S000455,model_development
S000457,model_development
S000459,model_development
S000460,independent_holdout
S000463,model_development
S000464,model_development
S000465,model_development
S000466,model_development
S000468,independent_holdout
S000469,independent_holdout
S000472,model_development
S000473,independent_holdout
S000474,model_development
S000475,model_development
S000476,model_development
S000479,model_development
S000480,model_development
S000481,independent_holdout
S000483,model_development
S000486,model_development
S000487,model_development
S000489,model_development
S000490,independent_holdout
S000493,model_development
S000494,model_development
S000495,model_development
S000497,model_development
S000498,model_development
S000499,model_development
S000500,model_development
S000501,model_development
S000502,model_development
S000503,model_development
S000504,model_development
S000505,model_development
S000506,model_development
S000507,model_development
S000508,model_development
S000509,model_development
S000510,model_development
S000511,independent_holdout
S000512,independent_holdout
S000513,independent_holdout
S000514,model_development
S000515,model_development
S000516,model_development
S000517,independent_holdout
S000518,model_development
S000520,model_development
S000521,model_development
S000523,model_development
S000526,model_development
S000527,model_development
S000528,model_development
S000529,model_development
S000530,model_development
S000531,independent_holdout
S000532,model_development
S000533,model_development
S000534,model_development
S000535,model_development
S000536,model_development
S000537,model_development
S000539,model_development
S000540,model_development
S000542,model_development
S000543,model_development
S000544,independent_holdout
S000545,model_development
S000547,independent_holdout
S000548,model_development
S000549,model_development
S000550,model_development
S000552,independent_holdout
S000553,independent_holdout
S000555,model_development
S000557,model_development
S000558,model_development
S000559,model_development
S000561,model_development
S000562,model_development
S000563,independent_holdout
S000564,model_development
S000565,model_development
S000567,model_development
S000568,model_development
S000570,model_development
S000571,independent_holdout
S000572,model_development
S000573,model_development
S000574,independent_holdout
S000575,independent_holdout
S000576,independent_holdout
S000577,independent_holdout
S000578,model_development
S000579,model_development
S000582,model_development
S000583,model_development
S000584,model_development
S000585,independent_holdout
S000586,independent_holdout
S000587,model_development
S000588,model_development
S000589,model_development
S000590,model_development
S000591,model_development
S000592,model_development
S000593,model_development
S000596,independent_holdout
S000597,model_development
S000599,independent_holdout
S000600,model_development
S000603,model_development
S000604,model_development
S000607,model_development
S000608,independent_holdout
S000609,model_development
S000610,model_development
S000611,model_development
S000612,model_development
S000613,model_development
S000614,model_development
S000615,model_development
S000616,model_development
S000617,model_development
S000618,model_development
S000619,model_development
S000621,model_development
S000622,independent_holdout
S000623,model_development
S000624,model_development
S000625,model_development
S000626,model_development
S000627,independent_holdout
S000628,model_development
S000629,model_development
S000630,model_development
S000631,model_development
S000632,model_development
S000633,model_development
S000634,model_development
S000635,model_development
S000636,model_development
S000637,model_development
S000638,model_development
S000639,model_development
S000640,model_development
S000641,model_development
S000642,model_development
S000643,model_development
S000644,independent_holdout
S000646,model_development
S000647,independent_holdout
S000648,model_development
S000649,model_development
S000650,independent_holdout
S000651,independent_holdout
S000652,model_development
S000653,model_development
S000654,independent_holdout
S000656,model_development
S000657,model_development
S000658,model_development
S000659,model_development
S000660,model_development
S000661,model_development
S000662,independent_holdout
S000663,model_development
S000665,independent_holdout
S000666,model_development
S000667,independent_holdout
S000668,model_development
S000669,model_development
S000671,model_development
S000672,model_development
S000673,model_development
S000675,model_development
S000676,model_development
S000677,model_development
S000679,model_development
S000680,model_development
S000682,model_development
S000683,model_development
S000684,model_development
S000685,model_development
S000686,independent_holdout
S000689,independent_holdout
S000690,model_development
S000691,independent_holdout
S000693,model_development
S000694,model_development
S000695,model_development
S000696,model_development
S000697,independent_holdout
S000698,model_development
S000699,model_development
S000701,model_development
S000702,independent_holdout
S000703,model_development
S000704,model_development
S000705,independent_holdout
S000707,model_development
S000708,model_development
S000709,independent_holdout
S000710,model_development
S000711,model_development
S000713,model_development
S000714,model_development
S000715,independent_holdout
S000716,model_development
S000717,model_development
S000720,independent_holdout
S000722,model_development
S000723,model_development
S000724,model_development
S000726,model_development
S000727,model_development
S000729,independent_holdout
S000730,model_development
S000732,model_development
S000733,model_development
S000735,model_development
S000736,independent_holdout
S000737,model_development
S000738,model_development
S000739,model_development
S000740,model_development
S000741,model_development
S000743,model_development
S000744,model_development
S000745,model_development
S000746,model_development
S000748,model_development
S000750,model_development
S000751,model_development
S000752,model_development
S000754,model_development
S000755,model_development
S000757,model_development
S000758,independent_holdout
S000759,model_development
S000760,independent_holdout
S000761,model_development
S000762,independent_holdout
S000763,model_development
S000764,independent_holdout
S000765,model_development
S000766,model_development
S000767,independent_holdout
S000768,independent_holdout
S000769,model_development
S000771,model_development
S000772,model_development
S000773,model_development
S000774,model_development
S000775,model_development
S000776,model_development
S000777,model_development
S000778,model_development
S000779,model_development
S000780,model_development
S000781,model_development
S000782,model_development
S000783,model_development
S000784,independent_holdout
S000785,model_development
S000786,independent_holdout
S000787,model_development
S000788,independent_holdout
S000789,independent_holdout
S000791,model_development
S000792,model_development
S000793,model_development
S000794,model_development
S000798,model_development
S000800,model_development
S000801,independent_holdout
S000802,independent_holdout
S000803,independent_holdout
S000805,model_development
S000806,model_development
S000807,model_development
S000808,model_development
S000809,model_development
S000810,model_development
S000812,model_development
S000813,model_development
S000814,independent_holdout
S000815,model_development
S000816,model_development
S000817,model_development
S000818,model_development
S000819,model_development
S000820,model_development
S000821,independent_holdout
S000822,model_development
S000823,model_development
S000824,model_development
S000825,model_development
S000826,model_development
S000827,model_development
S000828,model_development
S000829,model_development
S000830,independent_holdout
S000831,model_development
S000832,model_development
S000833,model_development
S000834,model_development
S000835,model_development
S000836,model_development
S000837,independent_holdout
S000838,independent_holdout
S000840,model_development
S000841,model_development
S000842,model_development
S000843,model_development
S000845,model_development
S000846,independent_holdout
S000848,model_development
S000849,model_development
S000850,independent_holdout
S000851,model_development
S000852,model_development
S000853,model_development
S000854,model_development
S000855,independent_holdout
S000856,model_development
S000857,independent_holdout
S000858,model_development
S000859,model_development
S000860,model_development
S000861,model_development
S000862,independent_holdout
S000863,model_development
S000864,model_development
S000865,model_development
S000866,independent_holdout
S000867,model_development
S000868,model_development
S000869,model_development
S000870,model_development
S000871,model_development
S000872,model_development
S000874,model_development
S000875,independent_holdout
S000876,model_development
S000877,model_development
S000878,model_development
S000880,model_development
S000881,model_development
S000883,model_development
S000884,model_development
S000885,model_development
S000886,independent_holdout
S000888,independent_holdout
S000889,model_development
S000890,independent_holdout
S000892,model_development
S000893,model_development
S000894,model_development
S000895,model_development
S000896,independent_holdout
S000897,model_development
S000898,model_development
S000899,model_development
S000900,model_development
S000901,model_development
S000902,model_development
S000903,independent_holdout
S000904,model_development
S000905,model_development
S000906,model_development
S000907,model_development
S000908,model_development
S000909,independent_holdout
S000910,model_development
S000911,model_development
S000912,model_development
S000914,model_development
S000915,independent_holdout
S000916,independent_holdout
S000917,model_development
S000918,model_development
S000919,model_development
S000921,model_development
S000923,model_development
S000924,model_development
S000925,independent_holdout
S000926,model_development
S000927,independent_holdout
S000928,model_development
S000929,independent_holdout
S000930,model_development
S000931,independent_holdout
S000932,model_development
S000933,model_development
S000934,independent_holdout
S000935,model_development
S000936,model_development
S000937,model_development
S000938,independent_holdout
S000939,model_development
S000940,model_development
S000941,model_development
S000942,model_development
S000943,independent_holdout
S000944,model_development
S000945,model_development
S000947,model_development
S000948,model_development
S000949,model_development
S000950,independent_holdout
S000951,model_development
S000954,independent_holdout
S000955,model_development
S000956,independent_holdout
S000957,model_development
S000959,model_development
S000960,model_development
S000961,independent_holdout
S000963,model_development
S000964,model_development
S000965,model_development
S000966,model_development
S000967,model_development
S000968,model_development
S000969,model_development
S000970,independent_holdout
S000971,model_development
S000972,model_development
S000973,model_development
S000975,model_development
S000976,model_development
S000977,model_development
